,latitude,longitude,depth,temperature_combined_C,salinity,O2,NO3,NO2,PO4,NO2NO3,Si,AO2U,pH,TCO2,thermocline_m,distance_to_thermocline_m,monthly_rainfall_mm,cloud_fraction,ocean_depth_m,distance_from_land_km,distance_to_bottom_m,miTAG_SILVA_Taxo_Richness_origiNANl,miTAG_SILVA_Chao_origiNANl,miTAG_SILVA_Shannon_origiNANl,OG_Shannon,OG_richness,OG_evenness,FC_heterotrophs_cells_per_mL,FC_autotrophs_cells_per_mL,FC_bacteria_cells_per_mL,FC_picoeukaryotes_cells_per_mL,min_generation_time_h,station,water_column_compartment,size_fraction_um,ocean_region,ocean_region_short,ocean_province,ocean_province_short,pelagic_biome,pelagic_biome_short
TARA_004_DCM_0,36.573,-6.539,38.689,16.246331,36.556443,5.466691116,2.436625116,NAN,0.19,NAN,0.386548522,-0.000679019,8.0817428,2080.359484,18.88678227,-19.80221773,50.33468267,0.414514047,72.844342,20.04861487,34.155342,3055,4174,6.85,7.16,14607,0.747,1226212,56383,1282596,6890,11.13,TARA_004,DCM,0.22_1.6,North_Atlantic,NANO,North_Atlantic_E_subtropical_gyre,NANST_E,westerlies,W
TARA_004_SRF_0,36.553,-6.567,10,20.5251,36.6324,5.382129,0.877575,NAN,0.075,NAN,0.064923,-0.255206,8.081701733,2080.399319,18.97128326,8.971283259,49.83983754,0.418421827,89.91010335,22.75004095,79.91010335,2718,3763,6.64,7.15,14591,0.745,839531,54593,894124,1222,15.23,TARA_004,SRF,0.22_1.6,North_Atlantic,NANO,North_Atlantic_E_subtropical_gyre,NANST_E,westerlies,W
TARA_007_DCM_0,37.039,1.95,41.74,17.36746,37.28055134,5.8375688,0.7253152,0,0.01,0.03,0.5,-0.4476984,8.095,2101.85,12.49323607,-29.24676393,88.17790703,0.579700781,2321.28502,99.48885911,2279.54502,3135,4786,6.8,7.28,16417,0.75,2580789,156125,2736914,1859,14.37,TARA_007,DCM,0.22_1.6,Mediterranean,MS,Mediterranean_Black_Sea,MEDI,westerlies,W
TARA_007_SRF_0,37.021,1.949,7.5,23.82575,37.4911,4.7510305,0.683419,0,0.06,0.03,0.52,-0.1549495,8.095,2101.85,12.71051981,5.21051981,87.20220455,0.579986293,2355.34309,99.55584242,2347.84309,2592,3872,6.53,7.2,15495,0.746,1004684,50586,1055270,813,14.29,TARA_007,SRF,0.22_1.6,Mediterranean,MS,Mediterranean_Black_Sea,MEDI,westerlies,W
TARA_009_DCM_0,39.073,5.86,55,16.151933,37.8232,5.70258176,0.23190088,0.02,0.02,0.08,0.6,-0.1015488,8.095,2101.85,26.49916273,-28.50083727,113.3979762,0.496328026,2828.094611,122.8076726,2773.094611,3229,4463,6.91,7.15,15318,0.742,781039,19832,800871,2882,10.7,TARA_009,DCM,0.22_1.6,Mediterranean,MS,Mediterranean_Black_Sea,MEDI,westerlies,W
TARA_009_SRF_0,39.073,5.86,5.784,23.8526,37.9751,4.75288208,0.568010895,0.01,0.02,0.03,0.75,-4.92E-05,8.095,2101.85,26.49916273,20.71516273,113.3979762,0.496328026,2828.094611,122.8076726,2822.310611,2741,3983,6.62,7.22,15315,0.75,901463,39330,940793,1231,17.47,TARA_009,SRF,0.22_1.6,Mediterranean,MS,Mediterranean_Black_Sea,MEDI,westerlies,W
TARA_018_DCM_0,35.761,14.252,61.635,18.36839,37.89241,5.528515425,0.003052212,0.025,0.013,0.02,0.62,-0.059884277,8.068,2128.56,49.70657026,-11.92842974,64.44450646,0.600979743,539.1984739,27.13472416,477.5634739,2746,4034,6.55,7.14,14088,0.748,NAN,NAN,NAN,NAN,12.95,TARA_018,DCM,0.22_1.6,Mediterranean,MS,Mediterranean_Black_Sea,MEDI,westerlies,W
TARA_018_SRF_0,35.758,14.261,5.426,21.4395,37.89245,4.829044847,0.077160487,0.018,0.026,0.12,0.56,-0.02966631,8.068,2128.56,49.64719108,44.22119108,63.59270717,0.603446547,531.9750399,26.67756812,526.5490399,2754,4030,6.61,7.14,14161,0.747,633618,39180,672798,947,13.56,TARA_018,SRF,0.22_1.6,Mediterranean,MS,Mediterranean_Black_Sea,MEDI,westerlies,W
TARA_023_DCM_0,42.174,17.719,55.159,15.705783,38.395417,5.214458997,1.743899143,0.01,0.01,0.05,1.05,0.539090863,8.089,2097.46,31.4562112,-23.7027888,211.9634235,0.683922437,1031.738472,51.93497597,976.5794724,2943,4076,6.74,7.15,15924,0.739,594712,29838,624550,1090,16.66,TARA_023,DCM,0.22_1.6,Mediterranean,MS,Mediterranean_Black_Sea,MEDI,westerlies,W
TARA_023_SRF_0,42.205,17.714,5.473,17.636575,38.187633,5.114232534,0.190949156,0.01,0.01,0.04,1.38,-0.2300598,8.089,2097.46,31.25414413,25.78114413,216.8820465,0.681197142,1044.469926,51.61353659,1038.996926,2658,3735,6.58,7.13,14477,0.745,746759,57854,804613,1499,17.52,TARA_023,SRF,0.22_1.6,Mediterranean,MS,Mediterranean_Black_Sea,MEDI,westerlies,W
TARA_025_DCM_0,39.409,19.381,51.695,15.161277,38.475705,5.337655416,0.214603775,0.07,0.07,0.15,1.82,-0.039312228,8.068,2128.56,34.83288356,-16.86211644,332.6868304,0.672729773,1148.391834,37.87818401,1096.696834,3128,4369,6.73,7.13,15774,0.737,NAN,NAN,NAN,NAN,14.03,TARA_025,DCM,0.22_1.6,Mediterranean,MS,Mediterranean_Black_Sea,MEDI,westerlies,W
